TransactionId,RequestId,TerminalId,PartnerObjectId,AmountTotal,AmountOriginal,CommissionPS,CommissionClient,CommissionProvider,DateInput,DatePost,Status,PaymentType,PaymentNumber,ServiceId,Service,PayeeId,PayeeName,PayeeBankMfo,PayeeBankAccount,PaymentNarrative
1,20020,3506,1111,1.00,1.00,0.00,0.00,0.00,2022-08-12 11:25:27,2022-08-12 14:25:27,accepted,cash,PS16698205,13980,Поповнення карток,14232155,pumb,254751,UA713451373919523,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
2,20030,3507,1111,1.00,1.00,0.00,0.00,0.00,2022-08-12 12:36:52,2022-08-12 15:36:53,accepted,cash,PS16698215,13990,Поповнення карток,14332255,privat,255752,UA713461333619513,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
3,20040,3508,1111,3.00,3.00,0.00,0.00,-0.01,2022-08-17 9:53:43,2022-08-17 12:53:44,accepted,cash,PS16698225,14000,Поповнення карток,14432355,privat,256753,UA713471293319503,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
4,20050,3509,1111,115.00,115.00,0.08,0.00,-0.23,2022-08-17 11:22:54,2022-08-17 14:22:54,accepted,cash,PS16698235,14010,Поповнення карток,14532455,privat,257754,UA713481253019493,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
5,20060,3510,1111,343.00,343.00,0.24,0.00,-0.69,2022-08-23 8:48:32,2022-08-23 11:48:33,accepted,cash,PS16698245,14020,Поповнення карток,14632555,oschad,258755,UA713491212719483,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
6,20070,3511,1111,1799.00,1799.00,1.26,0.00,-3.60,2022-08-23 8:48:47,2022-08-23 11:48:47,accepted,cash,PS16698255,14030,Поповнення карток,14732655,privat,259756,UA713501172419473,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
7,20080,3512,1111,2499.00,2499.00,1.75,0.00,-5.00,2022-08-23 8:49:01,2022-08-23 11:49:02,accepted,cash,PS16698265,14040,Поповнення карток,14832755,privat,260757,UA713511132119463,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
8,20090,3513,1111,99.00,99.00,0.07,0.00,-0.20,2022-08-23 9:00:30,2022-08-23 12:00:30,accepted,card,PS16698275,14050,Поповнення карток,14932855,privat,261758,UA713521091819453,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
9,20100,3514,1111,1349.00,1349.00,0.94,0.00,-2.70,2022-08-23 9:00:44,2022-08-23 12:00:45,accepted,cash,PS16698285,14060,Поповнення карток,15032955,oschad,262759,UA713531051519443,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
10,20110,3515,1111,119.00,119.00,0.08,1.00,-0.24,2022-08-23 9:03:37,2022-08-23 12:03:38,accepted,cash,PS16698295,14070,Поповнення карток,15133055,privat,263760,UA713541011219433,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
